,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ALDH1L2,3.09637673044785e-120,3.79872256978441,0.106,0.004,1.82283698121465e-115,plasma cell,ALDH1L2
ST6GALNAC4,5.63929630929997e-120,2.13615919717581,0.361,0.051,3.31985373728489e-115,plasma cell,ST6GALNAC4
PELI1.2,1.06347607671479e-119,2.35374029108466,0.855,0.301,6.26068366361998e-115,plasma cell,PELI1
MT-ATP6.3,1.56872004353921e-119,-1.9753376435632,1,1,9.23505489631535e-115,plasma cell,MT-ATP6
MT-CO3.3,3.40101502817466e-119,-2.41656332687746,1,1,2.00217754708642e-114,plasma cell,MT-CO3
WARS.1,5.33442261353788e-119,1.77175968710016,0.4,0.063,3.14037459258975e-114,plasma cell,WARS
SPCS1.3,3.54467251049903e-118,1.76244979564562,0.942,0.449,2.08674870693078e-113,plasma cell,SPCS1
UBE2E2,5.66627390070976e-118,2.01113477152012,0.252,0.025,3.33573544534783e-113,plasma cell,UBE2E2
HMCES.2,1.34998316007646e-116,1.50319083489917,0.648,0.149,7.94735086337013e-112,plasma cell,HMCES
IGKC.3,3.66615157194244e-116,9.04895392385749,0.997,0.704,2.15826343040251e-111,plasma cell,IGKC
SDF2L1.2,4.35906629231971e-115,1.96447895837036,0.773,0.235,2.56618232628862e-110,plasma cell,SDF2L1
RIPOR1,9.77069747198029e-115,1.61042932872275,0.336,0.045,5.7520096017548e-110,plasma cell,RIPOR1
SSR3.2,1.49213236646784e-114,1.78183675856651,0.903,0.373,8.78418324139617e-110,plasma cell,SSR3
SEC61B.2,1.41500095152642e-113,1.6139669434382,0.979,0.577,8.33011060163604e-109,plasma cell,SEC61B
DPP7.2,1.93085823153146e-113,1.33254570693368,0.806,0.217,1.13669624090257e-108,plasma cell,DPP7
ESR2,3.7497690649063e-113,3.57678919105132,0.133,0.007,2.20748904851034e-108,plasma cell,ESR2
MYO5A.1,3.81212604283253e-112,1.65964185776967,0.355,0.05,2.24419860141551e-107,plasma cell,MYO5A
MIR4435-2HG.1,5.90716545610516e-112,1.76632758928815,0.312,0.04,3.47754830400911e-107,plasma cell,MIR4435-2HG
GALNT2.3,8.14081160888753e-112,1.42126428006536,0.561,0.117,4.79249579415209e-107,plasma cell,GALNT2
ODF3B,1.59406206344408e-111,2.12387798469118,0.239,0.024,9.38424336749532e-107,plasma cell,ODF3B
BTN3A2.2,1.49026919076414e-110,1.28103703467156,0.518,0.101,8.7732147260285e-106,plasma cell,BTN3A2
TENT5C.3,1.74623751001247e-110,1.95231854002859,0.8,0.252,1.02801002214434e-105,plasma cell,TENT5C
ADAM28,1.78302679555772e-110,1.01723690136884,0.276,0.032,1.04966787454483e-105,plasma cell,ADAM28
RF00003-7,2.73629440153172e-110,2.5739313483807,0.261,0.029,1.61085651418172e-105,plasma cell,RF00003-7
DDOST.2,2.86065591659516e-110,1.64905016451461,0.797,0.243,1.68406813809957e-105,plasma cell,DDOST
HSH2D,3.40431455606892e-110,2.00402667971441,0.379,0.06,2.00411997915777e-105,plasma cell,HSH2D
RF00003,5.28179893338148e-110,3.32165219196488,0.17,0.012,3.10939503208168e-105,plasma cell,RF00003
MT-CO2.3,8.34786189650823e-110,-2.02448374241916,1,1,4.9143862984744e-105,plasma cell,MT-CO2
SRM.1,9.34665389549955e-110,1.30525884625113,0.588,0.128,5.50237514828059e-105,plasma cell,SRM
TYMP.2,2.12311201418518e-109,1.4643278656043,0.652,0.159,1.24987604275082e-104,plasma cell,TYMP
APOBEC3C.1,2.42946105418846e-109,1.93876784707944,0.527,0.113,1.43022372260075e-104,plasma cell,APOBEC3C
MANEA,6.41143737746653e-109,2.12540556817847,0.297,0.039,3.77441318411455e-104,plasma cell,MANEA
LGALS1.2,4.14157845902286e-108,1.06223215546394,0.933,0.307,2.43814723882676e-103,plasma cell,LGALS1
LY9,6.35101124450271e-108,1.71948510817167,0.342,0.049,3.73884031963875e-103,plasma cell,LY9
SLC1A4,3.84688722892673e-107,1.78233720377979,0.294,0.038,2.26466251166917e-102,plasma cell,SLC1A4
MT-ND4.3,5.5446087009042e-107,-1.82952905907325,1,1,3.2641111422223e-102,plasma cell,MT-ND4
KCNN4.3,7.28353580952722e-107,2.23674893874054,0.539,0.122,4.28781753106867e-102,plasma cell,KCNN4
PDIA6.2,1.47695628299449e-106,1.70831090542664,0.876,0.333,8.69484163798854e-102,plasma cell,PDIA6
TBC1D9,3.95254806971416e-106,2.33186882262624,0.267,0.032,2.32686504864073e-101,plasma cell,TBC1D9
MT-CO1.3,1.34010645044436e-105,-2.00689653577298,1,1,7.88920667376595e-101,plasma cell,MT-CO1
TEX14,2.28428334652916e-105,3.55436200525118,0.121,0.006,1.34475760610171e-100,plasma cell,TEX14
HM13.2,5.85490890558002e-105,1.58729448923394,0.748,0.218,3.44678487271496e-100,plasma cell,HM13
SYNE3,2.79883354885406e-103,2.07986033065871,0.321,0.046,1.64767331021039e-98,plasma cell,SYNE3
DENND5B,5.11907858566251e-103,2.31419748717965,0.236,0.026,3.01360156337952e-98,plasma cell,DENND5B
COL4A4,6.55270590339406e-103,2.6047067363483,0.127,0.007,3.85757796532808e-98,plasma cell,COL4A4
FGD2,1.11842366160185e-102,2.77439500951184,0.142,0.009,6.5841600958501e-98,plasma cell,FGD2
PLCG2,1.20374445325148e-102,1.07436672156188,0.348,0.052,7.08644359629145e-98,plasma cell,PLCG2
TIAM2,2.60261289526364e-102,2.70784339245228,0.23,0.025,1.5321582114417e-97,plasma cell,TIAM2
BLNK,2.75001743725228e-102,2.57016685327433,0.345,0.056,1.61893526531041e-97,plasma cell,BLNK
PDE4B.3,5.68156981225542e-102,1.38261573344312,0.915,0.289,3.34474014847477e-97,plasma cell,PDE4B
CD40,1.38487350613494e-101,1.34439126483769,0.321,0.045,8.15275033061637e-97,plasma cell,CD40
AC012368.1,1.43347054208589e-101,3.32833571170587,0.106,0.005,8.43884108125964e-97,plasma cell,AC012368.1
NCOA3.1,1.70425211926491e-101,1.51704885787928,0.664,0.172,1.00329322261126e-96,plasma cell,NCOA3
MT-ND2.3,1.18572755492335e-100,-1.72286189833917,0.997,0.998,6.98037811583375e-96,plasma cell,MT-ND2
MT-RNR2.3,7.56248265479905e-100,-2.04600749207636,1,1,4.4520335388802e-95,plasma cell,MT-RNR2
RNASE6,1.01394623262642e-99,2.99741058285325,0.148,0.01,5.96910147147175e-95,plasma cell,RNASE6
CBX6.3,2.46785090672903e-99,1.31636300475649,0.485,0.095,1.45282382879138e-94,plasma cell,CBX6
SPCS3.2,2.65192685051805e-99,1.49257019958164,0.879,0.329,1.56118933689998e-94,plasma cell,SPCS3
SNORD3B-2,4.00941706618976e-99,2.18917522817298,0.233,0.026,2.36034382686591e-94,plasma cell,SNORD3B-2
NCF1C,6.20318111179023e-99,1.70439617725392,0.185,0.016,3.65181272051091e-94,plasma cell,NCF1C
