"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SOX2",0,7.98629393716211,0.56,0.006,0,"monocyte (inaccurate annotation)","SOX2"
"PLEKHB1",0,5.78072907521449,0.576,0.024,0,"monocyte (inaccurate annotation)","PLEKHB1"
"HSPA1B.2",0,4.57302933639419,0.985,0.437,0,"monocyte (inaccurate annotation)","HSPA1B"
"CADM1",0,6.34354295354881,0.573,0.026,0,"monocyte (inaccurate annotation)","CADM1"
"L1CAM",0,8.57085372918462,0.549,0.004,0,"monocyte (inaccurate annotation)","L1CAM"
"PAPPA",0,6.35028465085606,0.56,0.017,0,"monocyte (inaccurate annotation)","PAPPA"
"FERMT2.1",0,3.93556998629003,0.6,0.064,0,"monocyte (inaccurate annotation)","FERMT2"
"CD9.2",0,3.32036933777977,0.985,0.454,0,"monocyte (inaccurate annotation)","CD9"
"ANK2",0,5.6477288297863,0.547,0.02,0,"monocyte (inaccurate annotation)","ANK2"
"AKAP12",0,4.55423330289027,0.576,0.051,0,"monocyte (inaccurate annotation)","AKAP12"
"VWA1",0,5.71124012963887,0.573,0.049,0,"monocyte (inaccurate annotation)","VWA1"
"TMOD2",0,5.29626494896443,0.554,0.031,0,"monocyte (inaccurate annotation)","TMOD2"
"KHDRBS3.1",0,4.67396045705513,0.613,0.091,0,"monocyte (inaccurate annotation)","KHDRBS3"
"HSPA1A.2",0,4.88736573868177,0.996,0.477,0,"monocyte (inaccurate annotation)","HSPA1A"
"AZGP1",0,5.87146601570874,0.534,0.017,0,"monocyte (inaccurate annotation)","AZGP1"
"CAVIN1.2",0,3.49804512163026,0.593,0.08,0,"monocyte (inaccurate annotation)","CAVIN1"
"SOX10",0,8.1967970539925,0.516,0.004,0,"monocyte (inaccurate annotation)","SOX10"
"AP1S2.1",0,3.7531588097428,0.617,0.105,0,"monocyte (inaccurate annotation)","AP1S2"
"PHLDA3",0,4.96738018048375,0.556,0.052,0,"monocyte (inaccurate annotation)","PHLDA3"
"COL28A1",0,6.80314585768878,0.517,0.013,0,"monocyte (inaccurate annotation)","COL28A1"
"SYNM",0,5.16749482189435,0.529,0.029,0,"monocyte (inaccurate annotation)","SYNM"
"CADM3",0,5.82934659363154,0.516,0.019,0,"monocyte (inaccurate annotation)","CADM3"
"TCF4.2",0,3.41673754779923,0.565,0.077,0,"monocyte (inaccurate annotation)","TCF4"
"CNP.2",0,4.33510236322806,0.58,0.095,0,"monocyte (inaccurate annotation)","CNP"
"DLC1",0,4.54242994813656,0.525,0.042,0,"monocyte (inaccurate annotation)","DLC1"
"ARL13B.1",0,4.39134322110399,0.554,0.077,0,"monocyte (inaccurate annotation)","ARL13B"
"TNS1",0,4.866710939774,0.506,0.029,0,"monocyte (inaccurate annotation)","TNS1"
"EGR1.2",0,3.84862579481893,0.98,0.506,0,"monocyte (inaccurate annotation)","EGR1"
"PDLIM4",0,5.40503479891673,0.495,0.025,0,"monocyte (inaccurate annotation)","PDLIM4"
"DKK3",0,5.81738271722067,0.477,0.015,0,"monocyte (inaccurate annotation)","DKK3"
"PRIMA1",0,7.39445422407065,0.468,0.007,0,"monocyte (inaccurate annotation)","PRIMA1"
"FGFBP2",0,7.43532874750735,0.462,0.005,0,"monocyte (inaccurate annotation)","FGFBP2"
"STARD13",0,5.61258984199794,0.499,0.045,0,"monocyte (inaccurate annotation)","STARD13"
"FGL2",0,4.58430012612116,0.508,0.055,0,"monocyte (inaccurate annotation)","FGL2"
"ATP1A2",0,7.7522714019824,0.457,0.005,0,"monocyte (inaccurate annotation)","ATP1A2"
"VGLL3",0,5.88816722589711,0.468,0.017,0,"monocyte (inaccurate annotation)","VGLL3"
"LPL",0,7.60455161828885,0.451,0.005,0,"monocyte (inaccurate annotation)","LPL"
"BMS1P10",0,7.44901694779757,0.451,0.007,0,"monocyte (inaccurate annotation)","BMS1P10"
"WNT6",0,7.77294567709056,0.446,0.004,0,"monocyte (inaccurate annotation)","WNT6"
"PCDH10",0,5.40156058678758,0.466,0.03,0,"monocyte (inaccurate annotation)","PCDH10"
"GLIS3",0,4.8479876355321,0.492,0.06,0,"monocyte (inaccurate annotation)","GLIS3"
"CRIP2",0,4.2500986868024,0.466,0.035,0,"monocyte (inaccurate annotation)","CRIP2"
"ITGB8",0,5.74339845068256,0.471,0.041,0,"monocyte (inaccurate annotation)","ITGB8"
"FGF2",0,5.44740192297992,0.446,0.024,0,"monocyte (inaccurate annotation)","FGF2"
"ABCA6",0,4.07901430169314,0.46,0.041,0,"monocyte (inaccurate annotation)","ABCA6"
"MPZ",0,6.78608056261704,0.425,0.01,0,"monocyte (inaccurate annotation)","MPZ"
"ARHGEF26",0,5.81864336918636,0.435,0.02,0,"monocyte (inaccurate annotation)","ARHGEF26"
"TSPAN11",0,8.66308594460979,0.413,0.003,0,"monocyte (inaccurate annotation)","TSPAN11"
"HSPA12A",0,5.50125870447083,0.433,0.028,0,"monocyte (inaccurate annotation)","HSPA12A"
"CAB39L",0,5.02361111895649,0.446,0.044,0,"monocyte (inaccurate annotation)","CAB39L"
"SORCS1",0,6.87175966055811,0.398,0.007,0,"monocyte (inaccurate annotation)","SORCS1"
"FSTL3",0,4.82148915138979,0.431,0.04,0,"monocyte (inaccurate annotation)","FSTL3"
"DMD",0,5.38925328830597,0.411,0.025,0,"monocyte (inaccurate annotation)","DMD"
"C1orf198",0,5.13227074239517,0.42,0.036,0,"monocyte (inaccurate annotation)","C1orf198"
"DNAJB1.2",0,4.29147357912152,0.996,0.621,0,"monocyte (inaccurate annotation)","DNAJB1"
"TNFAIP6",0,4.0400807089702,0.401,0.028,0,"monocyte (inaccurate annotation)","TNFAIP6"
"TUBB2B",0,7.88872463329839,0.376,0.006,0,"monocyte (inaccurate annotation)","TUBB2B"
"NGFR",0,5.90514865225689,0.376,0.01,0,"monocyte (inaccurate annotation)","NGFR"
"NR2F1",0,4.68973183109841,0.387,0.025,0,"monocyte (inaccurate annotation)","NR2F1"
"CHADL",0,7.58306027488222,0.366,0.008,0,"monocyte (inaccurate annotation)","CHADL"
"CREB5",0,4.66207049475182,0.389,0.032,0,"monocyte (inaccurate annotation)","CREB5"
"SHISA9",0,7.25068341934231,0.361,0.008,0,"monocyte (inaccurate annotation)","SHISA9"
"NRN1",0,6.43437931788986,0.359,0.007,0,"monocyte (inaccurate annotation)","NRN1"
"LINC00632",0,5.08292076023594,0.37,0.024,0,"monocyte (inaccurate annotation)","LINC00632"
"PTPRZ1",0,7.94801174434549,0.343,0.003,0,"monocyte (inaccurate annotation)","PTPRZ1"
"TTYH1",0,7.79954033431413,0.335,0.004,0,"monocyte (inaccurate annotation)","TTYH1"
"SLC35F1",0,8.39806924870639,0.331,0.002,0,"monocyte (inaccurate annotation)","SLC35F1"
"ADARB2",0,7.79777013588136,0.33,0.003,0,"monocyte (inaccurate annotation)","ADARB2"
"CRTAC1",0,7.98352627192854,0.328,0.003,0,"monocyte (inaccurate annotation)","CRTAC1"
"NRP2",0,4.77295944883434,0.343,0.02,0,"monocyte (inaccurate annotation)","NRP2"
"RORB",0,5.74733624965612,0.331,0.011,0,"monocyte (inaccurate annotation)","RORB"
"SLC22A17",0,5.12613239197542,0.337,0.019,0,"monocyte (inaccurate annotation)","SLC22A17"
"ANKRD33B",0,4.98803496484203,0.341,0.024,0,"monocyte (inaccurate annotation)","ANKRD33B"
"GFRA1",0,4.72984385863225,0.339,0.022,0,"monocyte (inaccurate annotation)","GFRA1"
"FOXD3-AS1",0,7.47827689298938,0.317,0.003,0,"monocyte (inaccurate annotation)","FOXD3-AS1"
"NCAM2",0,7.10272121753342,0.32,0.006,0,"monocyte (inaccurate annotation)","NCAM2"
"GPC1",0,4.92897625480438,0.337,0.025,0,"monocyte (inaccurate annotation)","GPC1"
"COL8A1",0,5.27838490583772,0.32,0.016,0,"monocyte (inaccurate annotation)","COL8A1"
"NTM",0,7.05397212376763,0.298,0.006,0,"monocyte (inaccurate annotation)","NTM"
"LRAT",0,6.60372010541134,0.302,0.013,0,"monocyte (inaccurate annotation)","LRAT"
"MT3",0,5.87740948088711,0.306,0.02,0,"monocyte (inaccurate annotation)","MT3"
"FIGN",0,5.40716716007579,0.295,0.012,0,"monocyte (inaccurate annotation)","FIGN"
"PDGFB",0,6.26968314299532,0.289,0.006,0,"monocyte (inaccurate annotation)","PDGFB"
"SLC15A3",0,5.87812861955422,0.291,0.01,0,"monocyte (inaccurate annotation)","SLC15A3"
"NLGN4X",0,7.07013298531068,0.282,0.004,0,"monocyte (inaccurate annotation)","NLGN4X"
"FAM19A5",0,7.44124750130076,0.274,0.004,0,"monocyte (inaccurate annotation)","FAM19A5"
"ADGRL3",0,5.43448708464617,0.273,0.008,0,"monocyte (inaccurate annotation)","ADGRL3"
"CDH2",0,7.77841351490196,0.267,0.003,0,"monocyte (inaccurate annotation)","CDH2"
"COL21A1",0,7.29996243945771,0.26,0.003,0,"monocyte (inaccurate annotation)","COL21A1"
"STON1",0,5.21910116300408,0.265,0.012,0,"monocyte (inaccurate annotation)","STON1"
"SERPINA5",0,7.14755426194518,0.241,0.004,0,"monocyte (inaccurate annotation)","SERPINA5"
"ST3GAL6",0,6.69543149018654,0.234,0.005,0,"monocyte (inaccurate annotation)","ST3GAL6"
"AL358216.1",0,8.24777172151709,0.23,0.002,0,"monocyte (inaccurate annotation)","AL358216.1"
"SYT10",0,8.09041182556873,0.227,0.002,0,"monocyte (inaccurate annotation)","SYT10"
"TENM3",0,7.77637871751003,0.221,0.002,0,"monocyte (inaccurate annotation)","TENM3"
"ZNF536",0,7.95719827090162,0.221,0.002,0,"monocyte (inaccurate annotation)","ZNF536"
"LINC00844",0,7.27026272269496,0.221,0.003,0,"monocyte (inaccurate annotation)","LINC00844"
"S100A1",0,7.39176615170611,0.221,0.006,0,"monocyte (inaccurate annotation)","S100A1"
"FOSB.2",0,3.51934453398936,0.996,0.784,0,"monocyte (inaccurate annotation)","FOSB"
"LINC01436",0,7.81257974066465,0.214,0.004,0,"monocyte (inaccurate annotation)","LINC01436"
"XKR4",0,7.3702908472856,0.212,0.003,0,"monocyte (inaccurate annotation)","XKR4"
"OLFML2A",0,5.85942163095775,0.215,0.007,0,"monocyte (inaccurate annotation)","OLFML2A"
"LRRC4C",0,5.87302869094964,0.212,0.005,0,"monocyte (inaccurate annotation)","LRRC4C"
"CASC15",0,6.93981039188286,0.21,0.004,0,"monocyte (inaccurate annotation)","CASC15"
"ADGRB3",0,5.94210012761634,0.212,0.006,0,"monocyte (inaccurate annotation)","ADGRB3"
"IGSF11",0,8.42449098769878,0.206,0.002,0,"monocyte (inaccurate annotation)","IGSF11"
"HMCN1",0,6.55232531581572,0.208,0.005,0,"monocyte (inaccurate annotation)","HMCN1"
"SHC4",0,6.89512248022202,0.206,0.003,0,"monocyte (inaccurate annotation)","SHC4"
"CADM4",0,6.69331963585709,0.204,0.005,0,"monocyte (inaccurate annotation)","CADM4"
"HEY2",0,6.17682825225327,0.204,0.006,0,"monocyte (inaccurate annotation)","HEY2"
"Z95114.1",0,7.51001394400531,0.201,0.004,0,"monocyte (inaccurate annotation)","Z95114.1"
"INSC",0,6.92402676015491,0.193,0.003,0,"monocyte (inaccurate annotation)","INSC"
"TMEM132B",0,7.6374294748824,0.188,0.002,0,"monocyte (inaccurate annotation)","TMEM132B"
"CMTM5",0,7.85714631321415,0.186,0.001,0,"monocyte (inaccurate annotation)","CMTM5"
"FOXD3",0,7.94962568244844,0.182,0.002,0,"monocyte (inaccurate annotation)","FOXD3"
"Z97205.2",0,8.29781210949651,0.18,0.001,0,"monocyte (inaccurate annotation)","Z97205.2"
"SBSPON",0,6.56699978892777,0.177,0.003,0,"monocyte (inaccurate annotation)","SBSPON"
"AL136298.1",0,8.30951684413495,0.168,0.001,0,"monocyte (inaccurate annotation)","AL136298.1"
"CHST9",0,7.53911925579338,0.164,0.003,0,"monocyte (inaccurate annotation)","CHST9"
"NKAIN3",0,9.33618680839974,0.16,0.001,0,"monocyte (inaccurate annotation)","NKAIN3"
"PHYHIPL",0,7.12973667246804,0.157,0.003,0,"monocyte (inaccurate annotation)","PHYHIPL"
"GFRA3",0,7.16110772934622,0.142,0.001,0,"monocyte (inaccurate annotation)","GFRA3"
"GRIK3",0,7.88989590003895,0.14,0.001,0,"monocyte (inaccurate annotation)","GRIK3"
"LINC01088",2.03505250001022e-307,5.67847088756277,0.241,0.011,1.19803540675601e-302,"monocyte (inaccurate annotation)","LINC01088"
"EMP1.2",2.13967218942757e-306,4.26309533822953,0.869,0.295,1.25962501791601e-301,"monocyte (inaccurate annotation)","EMP1"
"DNAJA1.2",3.81319870387076e-306,3.17065237375661,0.993,0.719,2.24483007696872e-301,"monocyte (inaccurate annotation)","DNAJA1"
"PRNP.2",1.9462644266261e-305,3.58250822865782,0.81,0.221,1.14576586795478e-300,"monocyte (inaccurate annotation)","PRNP"
"PFKFB3.1",2.29806565506337e-305,3.75088039615216,0.77,0.193,1.35287125113581e-300,"monocyte (inaccurate annotation)","PFKFB3"
"ACSM5",2.6659783681749e-305,6.61156126912938,0.16,0.003,1.56946146534456e-300,"monocyte (inaccurate annotation)","ACSM5"
"PLAT",3.64067461977682e-304,5.04617101643662,0.33,0.025,2.14326514866261e-299,"monocyte (inaccurate annotation)","PLAT"
"COL9A3",8.03759182256037e-304,5.34267143917336,0.302,0.021,4.73173030594129e-299,"monocyte (inaccurate annotation)","COL9A3"
"TCIM.2",1.87913137065883e-300,4.73891243489832,0.726,0.177,1.10624463790685e-295,"monocyte (inaccurate annotation)","TCIM"
"TFAP2A",3.23732908637103e-300,7.28788083675702,0.162,0.003,1.90581563314662e-295,"monocyte (inaccurate annotation)","TFAP2A"
"STARD13-AS",9.16538129325392e-300,7.42445775548679,0.182,0.005,5.39565996733858e-295,"monocyte (inaccurate annotation)","STARD13-AS"
"MEGF9",1.34670448872816e-299,4.44378746338211,0.455,0.056,7.92804932514267e-295,"monocyte (inaccurate annotation)","MEGF9"
"CCL2.2",3.83984947769566e-297,3.86191471021751,0.532,0.078,2.26051938751944e-292,"monocyte (inaccurate annotation)","CCL2"
"FAM126A.1",1.11463452198393e-294,3.99279042483968,0.497,0.069,6.56185343091942e-290,"monocyte (inaccurate annotation)","FAM126A"
"ANGPTL1",2.95843134549207e-294,3.95762311063157,0.401,0.041,1.74162853309118e-289,"monocyte (inaccurate annotation)","ANGPTL1"
"FAM181B",1.4502369933427e-292,7.36668153555713,0.134,0.002,8.5375451798085e-288,"monocyte (inaccurate annotation)","FAM181B"
"GSN.2",4.41668852506507e-292,1.38880235955457,0.912,0.274,2.6001045347058e-287,"monocyte (inaccurate annotation)","GSN"
"SOCS3.1",2.10200391757954e-289,3.10155678000985,0.882,0.305,1.23744970627907e-284,"monocyte (inaccurate annotation)","SOCS3"
"GFRA2",1.33948714055274e-287,7.6020688861788,0.129,0.001,7.885560796434e-283,"monocyte (inaccurate annotation)","GFRA2"
"LINC00472",1.89681153871456e-285,4.96877383366033,0.249,0.014,1.11665295284126e-280,"monocyte (inaccurate annotation)","LINC00472"
"TRABD2B",4.2868594261387e-285,6.00235211978766,0.173,0.005,2.52367414416785e-280,"monocyte (inaccurate annotation)","TRABD2B"
"FSTL1",1.86914836938129e-283,2.75930709692288,0.477,0.06,1.10036764505477e-278,"monocyte (inaccurate annotation)","FSTL1"
"BPGM",4.86677206503302e-282,4.34359227160557,0.46,0.061,2.86506871468494e-277,"monocyte (inaccurate annotation)","BPGM"
"JUNB.1",2.16537479960275e-281,3.23852244888525,0.996,0.774,1.27475614452614e-276,"monocyte (inaccurate annotation)","JUNB"
"FRMD4A",2.47931918735509e-281,5.01356144539072,0.322,0.027,1.45957520559594e-276,"monocyte (inaccurate annotation)","FRMD4A"
"PDK4.2",1.9990776106018e-280,3.00641713732802,0.902,0.347,1.17685698936128e-275,"monocyte (inaccurate annotation)","PDK4"
"AL591379.1",2.31021451789588e-279,6.73350993737026,0.149,0.003,1.3600232866853e-274,"monocyte (inaccurate annotation)","AL591379.1"
"SERTAD1.2",3.46831110172012e-279,3.11752671761568,0.943,0.463,2.04179474558263e-274,"monocyte (inaccurate annotation)","SERTAD1"
"SNCA",5.10845167958838e-279,4.80364612834481,0.249,0.014,3.00734550377368e-274,"monocyte (inaccurate annotation)","SNCA"
"CALD1.2",7.69013016798204e-279,1.60269383945211,0.678,0.119,4.52717962989102e-274,"monocyte (inaccurate annotation)","CALD1"
"ZBTB20.2",8.00706407190847e-276,3.49039364319143,0.738,0.2,4.71375861913251e-271,"monocyte (inaccurate annotation)","ZBTB20"
"GATM",8.91764158796961e-276,5.39322695178795,0.225,0.011,5.24981560283771e-271,"monocyte (inaccurate annotation)","GATM"
"SLITRK2",1.19395814508379e-275,7.99205979428261,0.112,0.001,7.02883160010825e-271,"monocyte (inaccurate annotation)","SLITRK2"
"NR4A1.1",8.75246704285326e-273,2.75587246767607,0.98,0.524,5.15257734812771e-268,"monocyte (inaccurate annotation)","NR4A1"
"HSPH1.1",9.22970682676182e-272,3.61266861949618,0.926,0.482,5.43352840891468e-267,"monocyte (inaccurate annotation)","HSPH1"
"IL1RAP",1.03910397922697e-271,5.4930673626114,0.254,0.016,6.11720512570919e-267,"monocyte (inaccurate annotation)","IL1RAP"
"EDNRB",1.04425434038145e-270,3.67861836553011,0.269,0.018,6.14752530182561e-266,"monocyte (inaccurate annotation)","EDNRB"
"MFAP3L",1.30728223098516e-269,6.4805154190115,0.155,0.004,7.69597049380962e-265,"monocyte (inaccurate annotation)","MFAP3L"
"MEGF10",1.42367469069669e-267,8.11179982478783,0.112,0.001,8.3811729041314e-263,"monocyte (inaccurate annotation)","MEGF10"
"ACKR3",1.47736555974305e-267,3.83408509881298,0.37,0.038,8.69725105020732e-263,"monocyte (inaccurate annotation)","ACKR3"
"HSP90AA1.1",9.66441713744234e-267,2.30484801775973,0.998,0.958,5.68944236881231e-262,"monocyte (inaccurate annotation)","HSP90AA1"
"PMEPA1.2",2.00237865819356e-265,2.94993450581105,0.856,0.303,1.17880031607855e-260,"monocyte (inaccurate annotation)","PMEPA1"
"IL6ST.1",3.62090919094012e-265,3.13215877196453,0.836,0.284,2.13162924070645e-260,"monocyte (inaccurate annotation)","IL6ST"
"IGFBP6.2",5.02234489324539e-265,1.18131672752246,0.582,0.095,2.95665443865356e-260,"monocyte (inaccurate annotation)","IGFBP6"
"TTLL7",6.09070708444662e-265,4.74596437239212,0.319,0.028,3.58559926061372e-260,"monocyte (inaccurate annotation)","TTLL7"
"WDR86",1.15926940760419e-264,4.5755024157786,0.243,0.014,6.82461900256589e-260,"monocyte (inaccurate annotation)","WDR86"
"MARCKS.2",1.51476441648304e-264,2.69272595957669,0.943,0.465,8.91741811983565e-260,"monocyte (inaccurate annotation)","MARCKS"
"IFI16.1",8.65687159120823e-262,3.34847598833622,0.792,0.242,5.09630030574428e-257,"monocyte (inaccurate annotation)","IFI16"
"EHBP1.1",3.4684705950835e-260,4.28418396789881,0.486,0.077,2.04188863932565e-255,"monocyte (inaccurate annotation)","EHBP1"
"CDKN1A.2",5.81808806631009e-260,3.16402470137983,0.904,0.415,3.42510844463675e-255,"monocyte (inaccurate annotation)","CDKN1A"
"APOC1",9.84534470350832e-260,4.02533738173822,0.331,0.031,5.79595442695535e-255,"monocyte (inaccurate annotation)","APOC1"
"KLF9.2",3.1292179325152e-259,3.00449688839169,0.873,0.343,1.8421705968717e-254,"monocyte (inaccurate annotation)","KLF9"
"KLF4.1",7.40219528114423e-259,2.89028532015811,0.967,0.536,4.35767236200961e-254,"monocyte (inaccurate annotation)","KLF4"
"CEBPD.2",7.56453905267166e-258,2.73035285309747,0.971,0.549,4.45324414030781e-253,"monocyte (inaccurate annotation)","CEBPD"
"HELB.2",1.73699827688437e-257,3.75523628832454,0.565,0.107,1.02257088560183e-252,"monocyte (inaccurate annotation)","HELB"
"HSP90AB1.2",5.94183919924173e-256,2.13548040993787,0.998,0.915,3.49796073659361e-251,"monocyte (inaccurate annotation)","HSP90AB1"
"WSB1.2",8.41862364174608e-256,2.92931842039165,0.945,0.573,4.95604373789592e-251,"monocyte (inaccurate annotation)","WSB1"
"CSGALNACT1",2.17802685294748e-253,5.24671121753472,0.208,0.01,1.28220440833018e-248,"monocyte (inaccurate annotation)","CSGALNACT1"
"ZFHX4",4.51755710857168e-251,5.47742571675911,0.203,0.01,2.65948586981615e-246,"monocyte (inaccurate annotation)","ZFHX4"
"FLRT1",1.03421738914612e-250,7.55474604418837,0.114,0.001,6.08843776990321e-246,"monocyte (inaccurate annotation)","FLRT1"
"NNMT.2",2.56140062495205e-250,3.87336493008289,0.519,0.087,1.50789654790927e-245,"monocyte (inaccurate annotation)","NNMT"
"BICC1",2.13658626140031e-249,4.71825184644965,0.315,0.029,1.25780833208636e-244,"monocyte (inaccurate annotation)","BICC1"
"DDX5.1",7.62999234405133e-249,1.9679108400381,0.994,0.933,4.49177649294302e-244,"monocyte (inaccurate annotation)","DDX5"
"F2RL2",8.40947223309814e-249,6.68555941823892,0.14,0.003,4.95065630362487e-244,"monocyte (inaccurate annotation)","F2RL2"
"KCTD12.1",2.7379682102444e-247,4.06905552985436,0.547,0.107,1.61184188537088e-242,"monocyte (inaccurate annotation)","KCTD12"
"TIMP4",9.82767840178506e-246,4.85757289429203,0.258,0.019,5.78555427513086e-241,"monocyte (inaccurate annotation)","TIMP4"
"DNAJB4.2",3.09128358694937e-243,3.83491305026449,0.665,0.174,1.81983864763709e-238,"monocyte (inaccurate annotation)","DNAJB4"
